Attempt,Seed,Accuracy,Precision (Macro),Recall (Macro),F1-score (Macro),Class distribution
1,42,0.8666666666666667,0.2888888888888889,0.3333333333333333,0.30952380952380953,"Counter({0: 13, 1: 1, 2: 1})"
2,43,0.8666666666666667,0.2888888888888889,0.3333333333333333,0.30952380952380953,"Counter({0: 13, 1: 1, 2: 1})"
3,44,0.13333333333333333,0.35714285714285715,0.358974358974359,0.09206349206349207,"Counter({0: 13, 2: 1, 1: 1})"
4,45,0.8666666666666667,0.2888888888888889,0.3333333333333333,0.30952380952380953,"Counter({0: 13, 1: 1, 2: 1})"
5,46,0.8666666666666667,0.2888888888888889,0.3333333333333333,0.30952380952380953,"Counter({0: 13, 1: 1, 2: 1})"
6,47,0.13333333333333333,0.35714285714285715,0.358974358974359,0.09206349206349207,"Counter({0: 13, 1: 1, 2: 1})"
7,48,0.8666666666666667,0.2888888888888889,0.3333333333333333,0.30952380952380953,"Counter({0: 13, 1: 1, 2: 1})"
8,49,0.6,0.27272727272727276,0.23076923076923075,0.25,"Counter({0: 13, 1: 1, 2: 1})"
9,50,0.06666666666666667,0.023809523809523808,0.3333333333333333,0.044444444444444446,"Counter({0: 13, 1: 1, 2: 1})"
10,51,0.5333333333333333,0.26666666666666666,0.20512820512820515,0.2318840579710145,"Counter({0: 13, 2: 1, 1: 1})"
