timestamp,predicted_category,true_category
2024-12-18,0-50000,0-50000
2024-12-19,0-50000,0-50000
2024-12-24,0-50000,50000-90000
2024-12-27,0-50000,50000-90000
2024-12-31,0-50000,50000-90000
2025-01-06,0-50000,0-50000
2025-01-09,0-50000,0-50000
2025-01-14,0-50000,0-50000
2025-01-15,0-50000,0-50000
2025-01-20,0-50000,0-50000
2025-01-21,0-50000,0-50000
2025-01-24,0-50000,0-50000
2025-01-27,0-50000,0-50000
2025-01-28,0-50000,0-50000
2025-01-29,0-50000,0-50000
2025-02-04,0-50000,0-50000
2025-02-05,0-50000,0-50000
2025-02-07,0-50000,50000-90000
2025-02-10,0-50000,50000-90000
2025-02-13,0-50000,50000-90000
2025-02-18,0-50000,0-50000
2025-02-20,0-50000,50000-90000
2025-02-24,0-50000,50000-90000
2025-02-25,50000-90000,50000-90000
2025-03-13,50000-90000,50000-90000
