date,t1_ph,h2s_ppm,biogas_vol,t1_olr,methane_percentage,eq_cod,t1_cod,fostac
2022-06-07,7.1,99.0,1232.0,2.35,65.1,14694,5074,0.53
2022-06-08,7.2,1045.0,1019.0,2.5,68.0,15633,5074,0.34
2022-06-09,7.3,879.0,1005.0,1.91,70.9,11950,5074,0.15
2022-06-10,7.3,983.0,892.0,3.07,65.7,14399,3340,0.19
2022-06-11,7.233333333333333,1016.6666666666666,1100.0,3.07,65.7,14399,3340,0.3366666666666666
2022-06-12,7.166666666666666,1050.3333333333333,1100.0,3.07,65.7,14399,3340,0.4833333333333333
2022-06-13,7.1,1084.0,1100.0,3.84,63.0,14399,3340,0.63
2022-06-14,7.1,1144.0,1224.0,3.84,61.5,14399,3340,0.28
2022-06-15,6.9,1171.0,1186.0,2.95,60.5,11080,3340,0.36
2022-06-16,7.0,1096.0,1163.0,3.95,62.5,14825,3770,0.35
2022-06-17,7.1,1130.0,1152.0,3.91,63.8,14662,3045,0.37
2022-06-18,7.133333333333333,1071.3333333333333,993.0,3.91,63.8,14662,3045,0.2914093959666666
2022-06-19,7.166666666666667,1012.6666666666666,993.0,3.91,63.8,14662,3045,0.2128187919333333
2022-06-20,7.2,954.0,993.0,3.43,71.2,12851,3045,0.1342281879
2022-06-21,7.0,1093.0,781.0,6.57,65.6,15399,3045,0.38
2022-06-22,6.5,1942.0,1254.0,8.48,51.6,19873,3045,1.29
2022-06-23,6.7,1858.0,1279.0,0.0,58.7,21008,3045,1.16
2022-06-24,7.1,1485.0,697.0,2.24,70.0,21008,3045,0.72
2022-06-25,7.166666666666666,1315.3333333333333,732.0,2.24,70.0,21008,3045,0.53
2022-06-26,7.233333333333333,1145.6666666666667,732.0,2.24,70.0,21008,3045,0.34
2022-06-27,7.3,976.0,732.0,4.01,72.6,15043,3045,0.15
2022-06-28,7.1,1203.0,757.0,3.85,64.7,14430,3045,0.42
2022-06-29,7.0,1409.0,940.0,5.3,62.8,14189,3045,0.63
2022-06-30,7.1,1348.0,1078.0,6.49,63.9,17394,3045,0.72
2022-07-01,6.9,1666.0,1387.0,8.39,60.3,22477,3045,1.04
2022-07-02,7.0,1507.0,1307.0,8.39,60.3,22477,3045,1.0133333333333334
2022-07-03,7.1000000000000005,1348.0,1307.0,1.4,60.3,22477,3045,0.9866666666666668
2022-07-04,7.2,1189.0,1307.0,2.53,72.5,20300,3045,0.96
2022-07-05,7.3,1102.0,1283.0,5.12,70.9,19201,3045,0.46
2022-07-06,7.3,1144.0,1180.0,5.34,69.8,20032,3045,0.41
2022-07-07,7.4,1063.0,1162.0,5.67,69.6,17706,3045,0.31
2022-07-08,7.2,1068.0,1103.0,5.59,68.1,17461,3045,0.33
2022-07-09,7.266666666666667,960.0,887.0,5.59,68.1,17461,3045,0.2766666666666666
